Batches	Only IMEs	All AEs	Cardiac arrest	Age - 1st quartile	Age - Median	Age - Mean	Age - 3rd Quartile	Earliest release date	Latest release date (if >1 release date)
ER7449	419	3756	3	33	43	43.93865031	51	27/02/2021	22/03/2021
FF4206	399	1776	2	27	36	37.42982456	48	10/08/2021	
FE8163	363	1425	2	27	37	37.5399361	47	3/08/2021	
FF0884	310	1293	2	28	38	38.08015267	47	15/07/2021	12/08/2021
EX6564	303	2078	3	32	41	40.5060241	48	1/03/2021	7/05/2021
FC3558	299	2004	2	30	40	39	48	13/05/2021	21/06/2021
FG3712	286	972	1	28	38	38.61693548	48	14/09/2021	1/10/2021
FF4222	257	1092	1	28	37	37.79545455	47	6/07/2021	
FH3219	241	929	1	28	38	39.47115385	48	22/09/2021	
FH4092	237	927	1	27	36	36.69711538	47.25	24/08/2021	
FG0050	228	983	1	26	37	36.72330097	48	27/07/2021	
FE3430	207	729	0	25.75	36	37.01630435	46	14/07/2021	
FC2336	203	1306	2	27	38	37.94318182	47	9/06/2021	
FH3221	201	795	0	29	39	39.44378698	49	13/10/2021	
FL3560	183	827	1	27	37	38.10493827	48	5/11/2021	
FD0927	175	1205	1	26	37	37.21794872	49	27/05/2021	7/06/2021
EP9605	171	1566	2	29	42	41.19852941	49	12/02/2021	
FH3253	166	555	0	27.5	37	36.48920863	46	15/09/2021	
FH0160	160	644	0	28	37	37.56428571	47	6/09/2021	
FJ5973	160	566	0	27	36.5	38.41911765	48	29/09/2021	
FE7051	148	513	0	30.75	38.5	39.61363636	50	16/08/2021	
FG7372	143	512	0	30	39	41	51	19/08/2021	
FF8222	139	540	0	28.5	37	37.39495798	46.5	4/09/2021	
FJ8372	113	409	0	31.5	40	42.45631068	52	8/09/2021	
FL7649	111	422	0	27.75	39	41.25	53	21/10/2021	
FG6431	103	207	0	30.75	39.5	39.04545455	48	5/10/2021	
FG1657	101	391	0	25.25	37	36.93023256	46.75	4/09/2021	
FD9234	99	541	0	25.75	33	34.73809524	44	10/06/2021	
FE2090	99	421	0	25.25	35	37.25555556	47	17/06/2021	
FE3064	88	439	0	28.75	36	37.02380952	45	23/06/2021	25/06/2021
ET3045	81	526	0	32	42	42.15384615	49	30/03/2021	
EX2405	76	506	0	31	41	39.87692308	48	8/04/2021	
EP2163	69	682	0	33	47	46.15873016	55.5	9/02/2021	
FC5029	52	278	0	27	35	35.57446809	43.5	29/06/2021	
FK6858	51	163	0	32	43	39.93333333	50	7/10/2021	
FG3716	38	91	0	26.25	34	37.1875	47.75	27/09/2021	1/10/2021
FA5833	34	202	0	27.5	36	38.85185185	49	9/06/2021	
FK6268	27	169	0	29.5	40	43.45454545	57.5	27/10/2021	
FK0892	16	63	0	37.5	44	48.27272727	58.5	18/11/2021	
FN0565	7	24	0	27.5	42	37.71428571	50.5	22/11/2021	
FL5729	6	38	0	21.25	27	28.5	32.75	26/10/2021	
FP1430	6	29	0	34.25	37	38.25	41	16/12/2021	
FL5333	5	20	0	25.25	29	42.25	46	4/11/2021	
